"GEOID","Region"
"06013366001","Bay Area"
"06013337100","Bay Area"
"06013326000","Bay Area"
"06013358000","Bay Area"
"06013304002","Bay Area"
"06013313103","Bay Area"
"06013307101","Bay Area"
"06013380000","Bay Area"
"06013385100","Bay Area"
"06013317000","Bay Area"
"06013318000","Bay Area"
"06013362000","Bay Area"
"06013367100","Bay Area"
"06013368002","Bay Area"
"06013365003","Bay Area"
"06013359103","Bay Area"
"06013349000","Bay Area"
"06013357000","Bay Area"
"06013304003","Bay Area"
"06013329000","Bay Area"
"06013351103","Bay Area"
"06013316000","Bay Area"
"06013302005","Bay Area"
"06013353001","Bay Area"
"06013338101","Bay Area"
"06013320003","Bay Area"
"06013368001","Bay Area"
"06013311000","Bay Area"
"06013337300","Bay Area"
"06013303205","Bay Area"
"06013336201","Bay Area"
"06013312000","Bay Area"
"06013359203","Bay Area"
"06013383000","Bay Area"
"06013306003","Bay Area"
"06013305000","Bay Area"
"06013355114","Bay Area"
"06013385200","Bay Area"
"06013353002","Bay Area"
"06013364002","Bay Area"
"06013367200","Bay Area"
"06013355108","Bay Area"
"06013359102","Bay Area"
"06013303202","Bay Area"
"06013324002","Bay Area"
"06013325000","Bay Area"
"06013313102","Bay Area"
"06013306004","Bay Area"
"06013315000","Bay Area"
"06013314200","Bay Area"
"06013314104","Bay Area"
"06013990000","Bay Area"
"06013320001","Bay Area"
"06013366002","Bay Area"
"06013310000","Bay Area"
"06013347000","Bay Area"
"06013387000","Bay Area"
"06013309000","Bay Area"
"06013355304","Bay Area"
"06013355111","Bay Area"
"06013334001","Bay Area"
"06013381000","Bay Area"
"06013306002","Bay Area"
"06013301000","Bay Area"
"06013343002","Bay Area"
"06013303102","Bay Area"
"06013392300","Bay Area"
"06013363000","Bay Area"
"06013303204","Bay Area"
"06013346204","Bay Area"
"06013348000","Bay Area"
"06013338302","Bay Area"
"06013359104","Bay Area"
"06013377000","Bay Area"
"06013313205","Bay Area"
"06013313206","Bay Area"
"06013355113","Bay Area"
"06013314103","Bay Area"
"06013307201","Bay Area"
"06013374000","Bay Area"
"06013355107","Bay Area"
"06013333200","Bay Area"
"06013354002","Bay Area"
"06013303203","Bay Area"
"06013308002","Bay Area"
"06013304001","Bay Area"
"06013355302","Bay Area"
"06013378000","Bay Area"
"06013355112","Bay Area"
"06013314102","Bay Area"
"06013304005","Bay Area"
"06013334200","Bay Area"
"06013319000","Bay Area"
"06013336101","Bay Area"
"06013336102","Bay Area"
"06013333101","Bay Area"
"06013308001","Bay Area"
"06013346203","Bay Area"
"06013356002","Bay Area"
"06013375000","Bay Area"
"06013345203","Bay Area"
"06013359204","Bay Area"
"06013379000","Bay Area"
"06013360200","Bay Area"
"06013340002","Bay Area"
"06013338102","Bay Area"
"06013303201","Bay Area"
"06013354001","Bay Area"
"06013392200","Bay Area"
"06013392000","Bay Area"
"06013339001","Bay Area"
"06013355301","Bay Area"
"06013356001","Bay Area"
"06013355109","Bay Area"
"06013355110","Bay Area"
"06013313204","Bay Area"
"06013304004","Bay Area"
"06013361000","Bay Area"
"06013360102","Bay Area"
"06013386000","Bay Area"
"06013333102","Bay Area"
"06013339002","Bay Area"
"06013340001","Bay Area"
"06013355306","Bay Area"
"06013338204","Bay Area"
"06013355116","Bay Area"
"06013355200","Bay Area"
"06013345103","Bay Area"
"06013334004","Bay Area"
"06013313203","Bay Area"
"06013343001","Bay Area"
"06013390200","Bay Area"
"06013335000","Bay Area"
"06013391000","Bay Area"
"06013307202","Bay Area"
"06013307205","Bay Area"
"06013338301","Bay Area"
"06013345116","Bay Area"
"06013338201","Bay Area"
"06013355117","Bay Area"
"06013376000","Bay Area"
"06013345111","Bay Area"
"06013388000","Bay Area"
"06013360101","Bay Area"
"06013334006","Bay Area"
"06013390100","Bay Area"
"06013343003","Bay Area"
"06013346201","Bay Area"
"06013346102","Bay Area"
"06013307204","Bay Area"
"06013338203","Bay Area"
"06013355115","Bay Area"
"06013345105","Bay Area"
"06013345202","Bay Area"
"06013345112","Bay Area"
"06013345101","Bay Area"
"06013341000","Bay Area"
"06013345115","Bay Area"
"06013389200","Bay Area"
"06013346101","Bay Area"
"06013345204","Bay Area"
"06013359105","Bay Area"
"06013345108","Bay Area"
"06013345114","Bay Area"
"06013345102","Bay Area"
"06013389100","Bay Area"
"06013345113","Bay Area"
"06041113000","Bay Area"
"06041119201","Bay Area"
"06041117000","Bay Area"
"06041132200","Bay Area"
"06041133000","Bay Area"
"06041106001","Bay Area"
"06041112201","Bay Area"
"06041104300","Bay Area"
"06041112100","Bay Area"
"06041131100","Bay Area"
"06041112202","Bay Area"
"06041110200","Bay Area"
"06041111000","Bay Area"
"06041103200","Bay Area"
"06041121200","Bay Area"
"06041990100","Bay Area"
"06041104101","Bay Area"
"06041119100","Bay Area"
"06041126200","Bay Area"
"06041132100","Bay Area"
"06041109002","Bay Area"
"06041130201","Bay Area"
"06041107000","Bay Area"
"06041109001","Bay Area"
"06041130202","Bay Area"
"06041114100","Bay Area"
"06041116000","Bay Area"
"06041101200","Bay Area"
"06041126100","Bay Area"
"06041102203","Bay Area"
"06041127000","Bay Area"
"06041108100","Bay Area"
"06041108200","Bay Area"
"06041119202","Bay Area"
"06041110100","Bay Area"
"06041121100","Bay Area"
"06041122000","Bay Area"
"06041115000","Bay Area"
"06041104102","Bay Area"
"06041101100","Bay Area"
"06041106002","Bay Area"
"06041124200","Bay Area"
"06041102202","Bay Area"
"06041128100","Bay Area"
"06041102100","Bay Area"
"06041129000","Bay Area"
"06041125000","Bay Area"
"06041104200","Bay Area"
"06041105000","Bay Area"
"06041120000","Bay Area"
"06041128200","Bay Area"
"06041114200","Bay Area"
"06041103100","Bay Area"
"06041118100","Bay Area"
"06041123000","Bay Area"
"06041124100","Bay Area"
"06055200504","Bay Area"
"06055200301","Bay Area"
"06055200503","Bay Area"
"06055201200","Bay Area"
"06055201005","Bay Area"
"06055200706","Bay Area"
"06055200704","Bay Area"
"06055200400","Bay Area"
"06055201006","Bay Area"
"06055201500","Bay Area"
"06055200201","Bay Area"
"06055201401","Bay Area"
"06055201300","Bay Area"
"06055200202","Bay Area"
"06055201700","Bay Area"
"06055201800","Bay Area"
"06055201101","Bay Area"
"06055201004","Bay Area"
"06055200703","Bay Area"
"06055200705","Bay Area"
"06055200601","Bay Area"
"06055201007","Bay Area"
"06055201601","Bay Area"
"06055200602","Bay Area"
"06055200707","Bay Area"
"06055200802","Bay Area"
"06055200203","Bay Area"
"06055202000","Bay Area"
"06055200804","Bay Area"
"06055201102","Bay Area"
"06055201900","Bay Area"
"06055201602","Bay Area"
"06055200900","Bay Area"
"06055200505","Bay Area"
"06055201403","Bay Area"
"06055201402","Bay Area"
"06055201003","Bay Area"
"06055200501","Bay Area"
"06055200803","Bay Area"
"06055200302","Bay Area"
"06075015600","Bay Area"
"06075015200","Bay Area"
"06075032902","Bay Area"
"06075017801","Bay Area"
"06075026200","Bay Area"
"06075026003","Bay Area"
"06075033000","Bay Area"
"06075016400","Bay Area"
"06075013200","Bay Area"
"06075026001","Bay Area"
"06075017902","Bay Area"
"06075025702","Bay Area"
"06075033203","Bay Area"
"06075026002","Bay Area"
"06075042601","Bay Area"
"06075016200","Bay Area"
"06075980300","Bay Area"
"06075015500","Bay Area"
"06075011901","Bay Area"
"06075032700","Bay Area"
"06075026301","Bay Area"
"06075026100","Bay Area"
"06075025800","Bay Area"
"06075031400","Bay Area"
"06075030302","Bay Area"
"06075017101","Bay Area"
"06075033204","Bay Area"
"06075980401","Bay Area"
"06075017601","Bay Area"
"06075011200","Bay Area"
"06075015100","Bay Area"
"06075012700","Bay Area"
"06075013102","Bay Area"
"06075026004","Bay Area"
"06075032901","Bay Area"
"06075032802","Bay Area"
"06075010800","Bay Area"
"06075980200","Bay Area"
"06075061500","Bay Area"
"06075017802","Bay Area"
"06075017000","Bay Area"
"06075016300","Bay Area"
"06075016100","Bay Area"
"06075040200","Bay Area"
"06075020100","Bay Area"
"06075033100","Bay Area"
"06075032801","Bay Area"
"06075025900","Bay Area"
"06075030400","Bay Area"
"06075012202","Bay Area"
"06075015700","Bay Area"
"06075010900","Bay Area"
"06075017102","Bay Area"
"06075012402","Bay Area"
"06075011800","Bay Area"
"06075013000","Bay Area"
"06075980501","Bay Area"
"06075042700","Bay Area"
"06075040100","Bay Area"
"06075013400","Bay Area"
"06075032601","Bay Area"
"06075013500","Bay Area"
"06075032602","Bay Area"
"06075016600","Bay Area"
"06075042800","Bay Area"
"06075061200","Bay Area"
"06075060400","Bay Area"
"06075015900","Bay Area"
"06075011700","Bay Area"
"06075042602","Bay Area"
"06075013101","Bay Area"
"06075031301","Bay Area"
"06075047901","Bay Area"
"06075025402","Bay Area"
"06075013300","Bay Area"
"06075010600","Bay Area"
"06075031302","Bay Area"
"06075025701","Bay Area"
"06075061400","Bay Area"
"06075026303","Bay Area"
"06075012302","Bay Area"
"06075012601","Bay Area"
"06075011100","Bay Area"
"06075018000","Bay Area"
"06075017700","Bay Area"
"06075980600","Bay Area"
"06075010500","Bay Area"
"06075016802","Bay Area"
"06075025403","Bay Area"
"06075021700","Bay Area"
"06075010200","Bay Area"
"06075010700","Bay Area"
"06075016700","Bay Area"
"06075010300","Bay Area"
"06075026403","Bay Area"
"06075012902","Bay Area"
"06075011000","Bay Area"
"06075030102","Bay Area"
"06075035300","Bay Area"
"06075022704","Bay Area"
"06075015400","Bay Area"
"06075010100","Bay Area"
"06075030600","Bay Area"
"06075012201","Bay Area"
"06075030301","Bay Area"
"06075061100","Bay Area"
"06075030202","Bay Area"
"06075016500","Bay Area"
"06075026404","Bay Area"
"06075012800","Bay Area"
"06075012602","Bay Area"
"06075047600","Bay Area"
"06075025200","Bay Area"
"06075047701","Bay Area"
"06075025401","Bay Area"
"06075016900","Bay Area"
"06075025600","Bay Area"
"06075025500","Bay Area"
"06075021200","Bay Area"
"06075060700","Bay Area"
"06075021000","Bay Area"
"06075012401","Bay Area"
"06075011300","Bay Area"
"06075016000","Bay Area"
"06075035400","Bay Area"
"06075022702","Bay Area"
"06075015300","Bay Area"
"06075010400","Bay Area"
"06075033201","Bay Area"
"06075021500","Bay Area"
"06075021600","Bay Area"
"06075023200","Bay Area"
"06075021300","Bay Area"
"06075023001","Bay Area"
"06075015801","Bay Area"
"06075031100","Bay Area"
"06075012901","Bay Area"
"06075031202","Bay Area"
"06075025100","Bay Area"
"06075035202","Bay Area"
"06075011902","Bay Area"
"06075030800","Bay Area"
"06075030500","Bay Area"
"06075030201","Bay Area"
"06075061000","Bay Area"
"06075023102","Bay Area"
"06075020700","Bay Area"
"06075023400","Bay Area"
"06075015802","Bay Area"
"06075035201","Bay Area"
"06075022600","Bay Area"
"06075030101","Bay Area"
"06075022802","Bay Area"
"06075021100","Bay Area"
"06075016801","Bay Area"
"06075060100","Bay Area"
"06075060502","Bay Area"
"06075045100","Bay Area"
"06075047802","Bay Area"
"06075022801","Bay Area"
"06075020800","Bay Area"
"06075030900","Bay Area"
"06075012502","Bay Area"
"06075031201","Bay Area"
"06075045200","Bay Area"
"06075020401","Bay Area"
"06075023103","Bay Area"
"06075026302","Bay Area"
"06075020500","Bay Area"
"06075990100","Bay Area"
"06075020900","Bay Area"
"06075021400","Bay Area"
"06075020600","Bay Area"
"06075021800","Bay Area"
"06075012301","Bay Area"
"06075026401","Bay Area"
"06075026402","Bay Area"
"06075030700","Bay Area"
"06075031000","Bay Area"
"06075047801","Bay Area"
"06075047702","Bay Area"
"06075012501","Bay Area"
"06075025300","Bay Area"
"06075023300","Bay Area"
"06075022902","Bay Area"
"06075022903","Bay Area"
"06075023003","Bay Area"
"06075047902","Bay Area"
"06075012100","Bay Area"
"06075020200","Bay Area"
"06075035100","Bay Area"
"06075020402","Bay Area"
"06075012000","Bay Area"
"06075020300","Bay Area"
"06075980900","Bay Area"
"06075022901","Bay Area"
"06075022803","Bay Area"
"06081611600","Bay Area"
"06081613600","Bay Area"
"06081608300","Bay Area"
"06081613000","Bay Area"
"06081601601","Bay Area"
"06081608100","Bay Area"
"06081601501","Bay Area"
"06081602700","Bay Area"
"06081611300","Bay Area"
"06081612900","Bay Area"
"06081608023","Bay Area"
"06081601400","Bay Area"
"06081601502","Bay Area"
"06081601700","Bay Area"
"06081611000","Bay Area"
"06081604102","Bay Area"
"06081610900","Bay Area"
"06081608200","Bay Area"
"06081611500","Bay Area"
"06081610800","Bay Area"
"06081604101","Bay Area"
"06081602500","Bay Area"
"06081600500","Bay Area"
"06081613502","Bay Area"
"06081610700","Bay Area"
"06081611400","Bay Area"
"06081611200","Bay Area"
"06081611100","Bay Area"
"06081602600","Bay Area"
"06081603900","Bay Area"
"06081990100","Bay Area"
"06081604000","Bay Area"
"06081608013","Bay Area"
"06081601100","Bay Area"
"06081600600","Bay Area"
"06081612500","Bay Area"
"06081601200","Bay Area"
"06081610601","Bay Area"
"06081602000","Bay Area"
"06081610100","Bay Area"
"06081601605","Bay Area"
"06081609603","Bay Area"
"06081603802","Bay Area"
"06081603700","Bay Area"
"06081612000","Bay Area"
"06081608502","Bay Area"
"06081608400","Bay Area"
"06081609201","Bay Area"
"06081600700","Bay Area"
"06081612600","Bay Area"
"06081611700","Bay Area"
"06081610400","Bay Area"
"06081608900","Bay Area"
"06081601604","Bay Area"
"06081610602","Bay Area"
"06081603801","Bay Area"
"06081611900","Bay Area"
"06081605900","Bay Area"
"06081608501","Bay Area"
"06081609202","Bay Area"
"06081601000","Bay Area"
"06081602300","Bay Area"
"06081600402","Bay Area"
"06081612800","Bay Area"
"06081613400","Bay Area"
"06081613501","Bay Area"
"06081610000","Bay Area"
"06081609700","Bay Area"
"06081609601","Bay Area"
"06081984300","Bay Area"
"06081606200","Bay Area"
"06081606000","Bay Area"
"06081606500","Bay Area"
"06081602400","Bay Area"
"06081600900","Bay Area"
"06081612100","Bay Area"
"06081610303","Bay Area"
"06081601300","Bay Area"
"06081607800","Bay Area"
"06081601603","Bay Area"
"06081610500","Bay Area"
"06081608004","Bay Area"
"06081602100","Bay Area"
"06081609300","Bay Area"
"06081605700","Bay Area"
"06081610201","Bay Area"
"06081600200","Bay Area"
"06081609100","Bay Area"
"06081600300","Bay Area"
"06081600401","Bay Area"
"06081612700","Bay Area"
"06081608800","Bay Area"
"06081601902","Bay Area"
"06081601901","Bay Area"
"06081611800","Bay Area"
"06081602800","Bay Area"
"06081603400","Bay Area"
"06081605800","Bay Area"
"06081605500","Bay Area"
"06081605400","Bay Area"
"06081603100","Bay Area"
"06081606600","Bay Area"
"06081607600","Bay Area"
"06081610302","Bay Area"
"06081613200","Bay Area"
"06081613300","Bay Area"
"06081609900","Bay Area"
"06081609800","Bay Area"
"06081608001","Bay Area"
"06081601800","Bay Area"
"06081606700","Bay Area"
"06081613700","Bay Area"
"06081603000","Bay Area"
"06081605200","Bay Area"
"06081600800","Bay Area"
"06081606300","Bay Area"
"06081603300","Bay Area"
"06081610304","Bay Area"
"06081607702","Bay Area"
"06081607900","Bay Area"
"06081608002","Bay Area"
"06081609000","Bay Area"
"06081609400","Bay Area"
"06081606100","Bay Area"
"06081605000","Bay Area"
"06081605600","Bay Area"
"06081607200","Bay Area"
"06081602200","Bay Area"
"06081607500","Bay Area"
"06081603200","Bay Area"
"06081600100","Bay Area"
"06081610202","Bay Area"
"06081608600","Bay Area"
"06081608700","Bay Area"
"06081609602","Bay Area"
"06081613900","Bay Area"
"06081602900","Bay Area"
"06081604900","Bay Area"
"06081604800","Bay Area"
"06081605100","Bay Area"
"06081607300","Bay Area"
"06081606400","Bay Area"
"06081606900","Bay Area"
"06081606800","Bay Area"
"06081604600","Bay Area"
"06081607701","Bay Area"
"06081609500","Bay Area"
"06081614000","Bay Area"
"06081604400","Bay Area"
"06081604500","Bay Area"
"06081607100","Bay Area"
"06081605300","Bay Area"
"06081607400","Bay Area"
"06081610203","Bay Area"
"06081604700","Bay Area"
"06081604200","Bay Area"
"06081607000","Bay Area"
"06081613800","Bay Area"
"06085508301","Bay Area"
"06085504315","Bay Area"
"06085508503","Bay Area"
"06085508505","Bay Area"
"06085503321","Bay Area"
"06085503315","Bay Area"
"06085512021","Bay Area"
"06085506703","Bay Area"
"06085512510","Bay Area"
"06085503324","Bay Area"
"06085508507","Bay Area"
"06085503326","Bay Area"
"06085503507","Bay Area"
"06085503508","Bay Area"
"06085504311","Bay Area"
"06085504317","Bay Area"
"06085504308","Bay Area"
"06085508204","Bay Area"
"06085506603","Bay Area"
"06085503306","Bay Area"
"06085504314","Bay Area"
"06085506702","Bay Area"
"06085503506","Bay Area"
"06085508508","Bay Area"
"06085503402","Bay Area"
"06085503323","Bay Area"
"06085506801","Bay Area"
"06085504201","Bay Area"
"06085504415","Bay Area"
"06085506604","Bay Area"
"06085503707","Bay Area"
"06085512019","Bay Area"
"06085512017","Bay Area"
"06085508404","Bay Area"
"06085506605","Bay Area"
"06085508504","Bay Area"
"06085508403","Bay Area"
"06085506606","Bay Area"
"06085507205","Bay Area"
"06085509106","Bay Area"
"06085504413","Bay Area"
"06085504002","Bay Area"
"06085507808","Bay Area"
"06085506503","Bay Area"
"06085503703","Bay Area"
"06085507903","Bay Area"
"06085512022","Bay Area"
"06085503312","Bay Area"
"06085503504","Bay Area"
"06085503401","Bay Area"
"06085507203","Bay Area"
"06085503712","Bay Area"
"06085508401","Bay Area"
"06085504102","Bay Area"
"06085508601","Bay Area"
