"COUNTY","GEOID","DESCRIPTION","REGION","YEAR","UNEMPLOYMENT","IN_LABOR_FORCE","FRONTLINE_OCC","HIGH_UNEMP_OCC","UNEMPLOYMENT_2019_RR","FRONTLINE_OCC_RR","HIGH_UNEMP_OCC_RR"
"06085","0608506","Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities, California","Bay Area",2019,0.024,0.491,0.256,0.125,1.17,1.17,0.93
"06085","0608513","Santa Clara County (Central)--San Jose City (Southeast/Evergreen), California","Bay Area",2019,0.016,0.525,0.247,0.128,0.78,1.12,0.95
"06085","0608509","Santa Clara County (Central)--San Jose City (Northwest), California","Bay Area",2019,0.021,0.602,0.181,0.127,1.03,0.82,0.95
"06085","0608514","Santa Clara County (Central)--San Jose City (East Central/East Valley), California","Bay Area",2019,0.03,0.541,0.271,0.191,1.47,1.23,1.42
"06085","0608508","Santa Clara County (Central)--San Jose (West Central) & Campbell Cities, California","Bay Area",2019,0.018,0.535,0.213,0.138,0.88,0.97,1.03
"06085","0608507","Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town, California","Bay Area",2019,0.015,0.46,0.139,0.075,0.73,0.63,0.56
"06095","0609501","Solano County (Southwest)--Vallejo & Benicia Cities, California","Bay Area",2019,0.028,0.52,0.318,0.142,1.37,1.45,1.06
"06095","0609503","Solano County (Northeast)--Vacaville & Dixon Cities, California","Bay Area",2019,0.015,0.472,0.277,0.127,0.73,1.26,0.95
"06095","0609502","Solano County (Central)--Fairfield & Suisun City Cities, California","Bay Area",2019,0.019,0.53,0.273,0.105,0.93,1.24,0.78
"06097","0609701","Sonoma County (North)--Windsor Town, Healdsburg & Sonoma Cities, California","Bay Area",2019,0.023,0.534,0.227,0.163,1.12,1.03,1.21
"06097","0609702","Sonoma County (South)--Petaluma, Rohnert Park & Cotati Cities, California","Bay Area",2019,0.02,0.561,0.237,0.147,0.98,1.08,1.09
"06097","0609703","Sonoma County (Central)--Santa Rosa City, California","Bay Area",2019,0.014,0.536,0.281,0.176,0.68,1.28,1.31
"08001","0800806","Adams County (West Central)--Thornton & Federal Heights Cities, Colorado","Denver",2019,0.016,0.56,0.234,0.149,0.85,1.05,1.03
"08001","0800807","Adams County (West Central)--Commerce City & Brighton Cities, Colorado","Denver",2019,0.025,0.538,0.253,0.17,1.33,1.13,1.18
"08001","0800805","Adams (West) & Jefferson (Far Northeast) Counties--Westminster & Northglenn Cities, Colorado","Denver",2019,0.017,0.589,0.271,0.146,0.91,1.21,1.01
"08005","0800808","Arapahoe County (West)--Aurora (Southwest) & Centennial (East) Cities, Colorado","Denver",2019,0.013,0.576,0.267,0.121,0.69,1.19,0.84
"08005","0800811","Arapahoe County (Southwest)--Centennial (West & Central) & Greenwood Village Cities, Colorado","Denver",2019,0.017,0.539,0.191,0.116,0.91,0.85,0.8
"08005","0800824","DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast), Colorado","Denver",2019,0.024,0.536,0.222,0.143,1.28,0.99,0.99
"08005","0800810","Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest), Colorado","Denver",2019,0.031,0.568,0.237,0.198,1.65,1.06,1.37
"08005","0800820","Arapahoe (West) & Jefferson (East) Counties--Littleton, Englewood Cities & Columbine, Colorado","Denver",2019,0.018,0.568,0.24,0.145,0.96,1.07,1.01
"08005","0800809","Arapahoe (West) & Adams (South Central) Counties--Aurora City (North Central), Colorado","Denver",2019,0.036,0.563,0.279,0.164,1.92,1.25,1.14
"08013","0800803","Boulder County (Central)--Boulder City, Colorado","Denver",2019,0.029,0.598,0.18,0.172,1.55,0.8,1.19
"08013","0800802","Boulder (Northeast) & Weld (Southwest) Counties--Longmont City & Erie Town, Colorado","Denver",2019,0.012,0.571,0.245,0.132,0.64,1.1,0.92
"08014","0800804","Broomfield, Jefferson (Northeast), Adams (Northwest) & Boulder (Southeast) Counties, Colorado","Denver",2019,0.009,0.576,0.215,0.138,0.48,0.96,0.96
"08031","0800812","Denver City (Northeast), Colorado","Denver",2019,0.018,0.61,0.245,0.124,0.96,1.1,0.86
"08031","0800813","Denver City (Northwest), Colorado","Denver",2019,0.022,0.639,0.199,0.165,1.17,0.89,1.14
"08031","0800815","Denver City (Southeast), Colorado","Denver",2019,0.018,0.606,0.227,0.146,0.96,1.01,1.01
"08031","0800816","Denver City (Southwest), Colorado","Denver",2019,0.012,0.514,0.227,0.125,0.64,1.01,0.87
"08031","0800814","Denver City (South Central), Colorado","Denver",2019,0.02,0.683,0.137,0.146,1.07,0.61,1.01
"08035","0800821","Douglas (West) & Jefferson (Southeast) Counties--Highlands Ranch & Chatfield Park, Colorado","Denver",2019,0.016,0.583,0.196,0.151,0.85,0.88,1.05
"08035","0800822","Douglas County (South)--Castle Rock Town, Colorado","Denver",2019,0.015,0.568,0.207,0.143,0.8,0.93,0.99
"08035","0800823","Douglas (Northeast) & Elbert (West) Counties--Parker Town & The Pinery, Colorado","Denver",2019,0.02,0.559,0.212,0.104,1.07,0.95,0.72
"08059","0800801","DRCOG Mountains--Jefferson (West), Boulder (West), Clear Creek & Gilpin Counties, Colorado","Denver",2019,0.018,0.561,0.193,0.146,0.96,0.86,1.01
"08059","0800818","Jefferson County (East Central)--Lakewood (North), Wheat Ridge & Golden Cities, Colorado","Denver",2019,0.024,0.569,0.216,0.16,1.28,0.97,1.11
"08059","0800819","Jefferson County (East Central)--Lakewood City (South) & Dakota Ridge, Colorado","Denver",2019,0.011,0.587,0.23,0.141,0.59,1.03,0.98
"08059","0800817","Jefferson County (Northeast)--Arvada City, Colorado","Denver",2019,0.017,0.563,0.217,0.131,0.91,0.97,0.91
"12009","1200904","Brevard County (Southeast)--Palm Bay City, Grant-Valkaria & Malabar Towns, Florida","Orlando",2019,0.033,0.453,0.327,0.134,1.48,1.36,0.66
"12009","1200903","Brevard County (Southwest)--Melbourne & West Melbourne Cities, Florida","Orlando",2019,0.017,0.488,0.291,0.157,0.76,1.21,0.78
"12009","1200901","Brevard County (Northwest)--Titusville, Rockledge & Cocoa Cities, Florida","Orlando",2019,0.037,0.47,0.268,0.166,1.66,1.11,0.82
"12009","1200902","Brevard County (East)--Beaches & Merritt Island, Florida","Orlando",2019,0.011,0.429,0.231,0.155,0.49,0.96,0.77
"12069","1206903","Lake (South) & Sumter (South) Counties, Florida","Orlando",2019,0.018,0.456,0.218,0.275,0.81,0.91,1.36
"12069","1206901","Lake County (North), Florida","Orlando",2019,0.025,0.428,0.263,0.139,1.12,1.09,0.69
"12083","1208301","Marion County (North), Florida","Orlando",2019,0.031,0.366,0.319,0.161,1.39,1.33,0.8
"12083","1208302","Marion County (Central)--Ocala City, Florida","Orlando",2019,0.034,0.47,0.256,0.146,1.53,1.06,0.72
"12083","1208303","Marion County (South Central), Florida","Orlando",2019,0.013,0.364,0.313,0.176,0.58,1.3,0.87
"12095","1209502","Orange County (West Central)--Winter Garden, Ocoee Cities & Oakland Town, Florida","Orlando",2019,0.028,0.564,0.192,0.266,1.26,0.8,1.31
"12095","1209505","Orange County (Central)--Orlando City (East Downtown) & Azalea Park, Florida","Orlando",2019,0.021,0.596,0.214,0.195,0.94,0.89,0.96
"12095","1209503","Orange County (Southwest)--Disney-International Drive Region, Florida","Orlando",2019,0.016,0.562,0.21,0.313,0.72,0.87,1.55
"12095","1209508","Orange County (North Central)--Orlando City (Univ. of Central Florida) & Union Park, Florida","Orlando",2019,0.017,0.506,0.247,0.21,0.76,1.03,1.04
"12095","1209510","Orange County (Northeast), Florida","Orlando",2019,0.026,0.543,0.219,0.199,1.17,0.91,0.98
"12095","1209506","Orange County (Central)--Orlando City (West Downtown) & Pine Hills (Southeast), Florida","Orlando",2019,0.035,0.553,0.205,0.267,1.57,0.85,1.32
"12095","1209504","Orange County (South Central)--Orlando City (South Central), Conway & Pine Castle, Florida","Orlando",2019,0.019,0.547,0.218,0.266,0.85,0.91,1.31
"12095","1209509","Orange County (Southeast), Florida","Orlando",2019,0.015,0.542,0.171,0.205,0.67,0.71,1.01
"12095","1209501","Orange County (Northwest), Florida","Orlando",2019,0.031,0.517,0.201,0.194,1.39,0.84,0.96
"12095","1209507","Orange County (North Central)--Orlando (North), Winter Park & Maitland Cities, Florida","Orlando",2019,0.018,0.573,0.255,0.152,0.81,1.06,0.75
"12097","1209702","Osceola County (East), Florida","Orlando",2019,0.014,0.482,0.246,0.174,0.63,1.02,0.86
"12097","1209701","Osceola County (West), Florida","Orlando",2019,0.032,0.507,0.243,0.298,1.44,1.01,1.47
"12117","1211703","Seminole County (South Central), Florida","Orlando",2019,0.018,0.549,0.269,0.168,0.81,1.12,0.83
"12117","1211702","Seminole County (North Central), Florida","Orlando",2019,0.022,0.539,0.264,0.142,0.99,1.1,0.7
"12117","1211701","Seminole County (West), Florida","Orlando",2019,0.015,0.534,0.22,0.191,0.67,0.91,0.94
"12117","1211704","Seminole County (East), Florida","Orlando",2019,0.028,0.538,0.2,0.172,1.26,0.83,0.85
"12119","1206902","Sumter (North) & Lake (North) Counties, Florida","Orlando",2019,0.015,0.259,0.277,0.234,0.67,1.15,1.16
"12127","1212701","Volusia County (Central & Northwest)--DeLand, DeBary Cities & Pierson Town, Florida","Orlando",2019,0.017,0.463,0.247,0.196,0.76,1.03,0.97
"12127","1212702","Volusia County (Northeast)--Daytona Beach, Ormond Beach & Holly Hill Cities, Florida","Orlando",2019,0.017,0.47,0.212,0.238,0.76,0.88,1.18
"12127","1212704","Volusia County (Southwest Central)--Deltona & Lake Helen Cities, Florida","Orlando",2019,0.018,0.452,0.29,0.139,0.81,1.21,0.69
"12127","1212703","Volusia County--Port Orange, Edgewater, New Smyrna Beach (East) & Oak Hill Cities, Florida","Orlando",2019,0.015,0.451,0.241,0.192,0.67,1,0.95
"12011","1201114","Broward County (Southeast)--Miramar (East), Hallandale Beach & West Park Cities, Florida","Miami",2019,0.045,0.542,0.33,0.177,2.11,1.35,1.04
"12011","1201108","Broward County (East Central)--Fort Lauderdale City (Central), Florida","Miami",2019,0.035,0.574,0.144,0.222,1.64,0.59,1.31
"12011","1201102","Broward County (North Central)--Margate & Coconut Creek Cities, Florida","Miami",2019,0.019,0.576,0.284,0.165,0.89,1.16,0.97
"12011","1201110","Broward County (Central)--Davie Town & Cooper City, Florida","Miami",2019,0.015,0.558,0.257,0.167,0.7,1.05,0.99
"12011","1201109","Broward County (Southeast)--Hollywood (North) & Dania Beach (South) Cities, Florida","Miami",2019,0.02,0.513,0.267,0.148,0.94,1.09,0.87
"12011","1201106","Broward County (Central)--Plantation & Sunrise Cities, Florida","Miami",2019,0.02,0.592,0.189,0.152,0.94,0.77,0.9
"12011","1201104","Broward County--Pompano Beach (South) & Fort Lauderdale (Northeast) Cities, Florida","Miami",2019,0.026,0.509,0.183,0.151,1.22,0.75,0.89
"12011","1201107","Broward County (Central)--Lauderhill & Lauderdale Lakes Cities, Florida","Miami",2019,0.041,0.519,0.311,0.174,1.92,1.27,1.03
"12011","1201103","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities, Florida","Miami",2019,0.018,0.511,0.198,0.218,0.84,0.81,1.29
"12011","1201112","Broward County (South Central)--Miramar (West) & Pembroke Pines (Southwest) Cities, Florida","Miami",2019,0.024,0.533,0.256,0.13,1.12,1.04,0.77
"12011","1201105","Broward County (Central)--Tamarac, Oakland Park & North Lauderdale Cities, Florida","Miami",2019,0.031,0.564,0.257,0.167,1.45,1.05,0.99
"12011","1201111","Broward County--Weston, Pembroke Pines (Northwest) Cities & Southwest Ranches Town, Florida","Miami",2019,0.02,0.521,0.21,0.128,0.94,0.86,0.76
"12011","1201113","Broward County (Southeast)--Hollywood (South) & Pembroke Pines (East) Cities, Florida","Miami",2019,0.027,0.52,0.252,0.191,1.26,1.03,1.13
"12011","1201101","Broward County (West)--Coral Springs & Parkland Cities, Florida","Miami",2019,0.024,0.511,0.245,0.134,1.12,1,0.79
"12086","1208621","Miami-Dade County (Central)--The Hammocks (West), Richmond West (West) & Country Walk, Florida","Miami",2019,0.015,0.523,0.243,0.11,0.7,0.99,0.65
"12086","1208612","Miami-Dade County (Northeast)--Miami Beach City & Miami Shores Village, Florida","Miami",2019,0.027,0.594,0.206,0.29,1.26,0.84,1.71
"12086","1208610","Miami-Dade County (Central)--Miami Springs City & Miami International Airport, Florida","Miami",2019,0.019,0.532,0.268,0.195,0.89,1.09,1.15
"12086","1208620","Miami-Dade County (East Central)--Kendall (North), Sunset & Westwood Lakes, Florida","Miami",2019,0.014,0.582,0.257,0.138,0.66,1.05,0.81
"12086","1208624","Miami-Dade County (South)--Homestead City (North) & Florida City (North), Florida","Miami",2019,0.03,0.461,0.302,0.158,1.4,1.23,0.93
"12086","1208609","Miami-Dade County (Northeast)--Hialeah City (South Central), Florida","Miami",2019,0.007,0.432,0.294,0.153,0.33,1.2,0.9
"12086","1208608","Miami-Dade County (North Central)--Doral, Sweetwater Cities & Fontainebleau, Florida","Miami",2019,0.01,0.521,0.196,0.144,0.47,0.8,0.85
"12086","1208607","Miami-Dade County (Northeast)--Hialeah City (North Central), Florida","Miami",2019,0.014,0.533,0.307,0.149,0.66,1.25,0.88
"12086","1208611","Miami-Dade County (Northeast Central)--Miami City (North), Florida","Miami",2019,0.034,0.538,0.212,0.23,1.59,0.86,1.36
"12086","1208613","Miami-Dade County (Northeast Central)--Miami City (Downtown), Florida","Miami",2019,0.016,0.538,0.243,0.245,0.75,0.99,1.45
"12086","1208622","Miami-Dade County (Southwest)--South Miami Heights, Florida","Miami",2019,0.022,0.502,0.295,0.144,1.03,1.2,0.85
"12086","1208618","Miami-Dade County (North Central)--Tamiami Trail Region (South)--Tamiami, Florida","Miami",2019,0.017,0.523,0.247,0.091,0.8,1.01,0.54
"12086","1208606","Miami-Dade County (Northeast)--Opa-Locka City, West Little River & Westview, Florida","Miami",2019,0.017,0.432,0.318,0.15,0.8,1.3,0.88
"12086","1208623","Miami-Dade County (Southeast)--Cutler Bay Town & Palmetto Bay Village, Florida","Miami",2019,0.025,0.508,0.284,0.133,1.17,1.16,0.78
"12086","1208614","Miami-Dade County (East)--Miami City (East) & Key Biscayne Village, Florida","Miami",2019,0.012,0.571,0.143,0.19,0.56,0.58,1.12
"12086","1208603","Miami-Dade County (Northeast)--Greater North Miami Beach City (West), Florida","Miami",2019,0.022,0.557,0.301,0.199,1.03,1.23,1.17
"12086","1208617","Miami-Dade County (East Central)--South Miami City, Westchester & Coral Terrace, Florida","Miami",2019,0.009,0.494,0.199,0.138,0.42,0.81,0.81
"12086","1208605","Miami-Dade County--North Miami City (Southwest) & Golden Glades (West), Florida","Miami",2019,0.016,0.508,0.28,0.227,0.75,1.14,1.34
"12086","1208619","Miami-Dade County (Central)--Kendale Lakes (Southwest) & Kendall West (South), Florida","Miami",2019,0.009,0.572,0.28,0.123,0.42,1.14,0.73
"12086","1208616","Miami-Dade County (East)--Coral Gables City, Pinecrest Village & Kendall (South), Florida","Miami",2019,0.011,0.52,0.192,0.128,0.52,0.78,0.76
"12086","1208602","Miami-Dade County (North Central)--Miami Gardens City (North & West), Florida","Miami",2019,0.021,0.474,0.314,0.135,0.98,1.28,0.8
"12086","1208604","Miami-Dade County (Northeast)--Aventura City & Surfside Town, Florida","Miami",2019,0.022,0.541,0.167,0.222,1.03,0.68,1.31
"12086","1208615","Miami-Dade County (East Central)--Miami City (West), Florida","Miami",2019,0.012,0.551,0.261,0.201,0.56,1.06,1.19
"12086","1208601","Miami-Dade County (North Central)--Greater Miami Lakes Town, Florida","Miami",2019,0.025,0.548,0.266,0.149,1.17,1.08,0.88
"12087","1208700","Miami-Dade (South/Outside Urban Development Boundary) & Monroe Counties, Florida","Miami",2019,0.02,0.512,0.223,0.274,0.94,0.91,1.62
"12017","1201701","Citrus County, Florida","Tampa Bay",2019,0.025,0.326,0.265,0.214,1.06,1.02,1.38
"12053","1205301","Hernando County, Florida","Tampa Bay",2019,0.018,0.399,0.284,0.169,0.76,1.1,1.09
"12057","1205708","Hillsborough County (South County), Florida","Tampa Bay",2019,0.028,0.499,0.27,0.113,1.18,1.04,0.73
"12057","1205706","Hillsborough County (Northeast), Florida","Tampa Bay",2019,0.017,0.487,0.31,0.157,0.72,1.2,1.01
"12057","1205702","Hillsborough County (Southwest)--Tampa City (South), Florida","Tampa Bay",2019,0.013,0.58,0.242,0.122,0.55,0.93,0.79
"12057","1205701","Hillsborough County (Central)--Tampa City (Central), Florida","Tampa Bay",2019,0.026,0.49,0.236,0.175,1.1,0.91,1.13
"12057","1205704","Hillsborough County (North Central), Florida","Tampa Bay",2019,0.032,0.568,0.26,0.137,1.35,1,0.88
"12057","1205707","Hillsborough County (Central), Florida","Tampa Bay",2019,0.023,0.529,0.244,0.13,0.97,0.94,0.84
"12057","1205705","Hillsborough County (North Central)--Tampa City (North), Florida","Tampa Bay",2019,0.025,0.505,0.251,0.187,1.06,0.97,1.21
"12057","1205703","Hillsborough County (Northwest), Florida","Tampa Bay",2019,0.015,0.562,0.282,0.111,0.63,1.09,0.72
"12081","1208103","Manatee County (South), Florida","Tampa Bay",2019,0.03,0.455,0.329,0.132,1.27,1.27,0.85
"12081","1208101","Manatee County (North), Florida","Tampa Bay",2019,0.037,0.447,0.258,0.15,1.56,0.99,0.97
"12081","1208102","Manatee County (West Central), Florida","Tampa Bay",2019,0.026,0.465,0.223,0.228,1.1,0.86,1.47
"12101","1210104","Pasco County (South), Florida","Tampa Bay",2019,0.015,0.501,0.226,0.12,0.63,0.87,0.77
"12101","1210103","Pasco County (Gulf Coast), Florida","Tampa Bay",2019,0.027,0.476,0.284,0.175,1.14,1.1,1.13
"12101","1210101","Pasco County (East Central), Florida","Tampa Bay",2019,0.021,0.418,0.241,0.172,0.89,0.93,1.11
"12101","1210102","Pasco County (West Central), Florida","Tampa Bay",2019,0.016,0.41,0.275,0.139,0.68,1.06,0.9
"12103","1210307","Pinellas County (Southeast)--St. Petersburg City (East), Florida","Tampa Bay",2019,0.026,0.558,0.292,0.146,1.1,1.13,0.94
"12103","1210303","Pinellas County (Central)--Clearwater City (South & Central), Florida","Tampa Bay",2019,0.034,0.47,0.25,0.172,1.43,0.96,1.11
"12103","1210306","Pinellas County (Central)--Greater Pinellas Park City, Florida","Tampa Bay",2019,0.025,0.513,0.235,0.227,1.06,0.91,1.46
"12103","1210305","Pinellas County (West Central)--Greater Seminole City, Florida","Tampa Bay",2019,0.025,0.504,0.241,0.169,1.06,0.93,1.09
"12103","1210302","Pinellas County (North Central), Florida","Tampa Bay",2019,0.022,0.458,0.266,0.176,0.93,1.03,1.14
"12103","1210304","Pinellas County (Central)--Greater Largo City, Florida","Tampa Bay",2019,0.027,0.5,0.242,0.187,1.14,0.93,1.21
"12103","1210301","Pinellas County (North), Florida","Tampa Bay",2019,0.022,0.433,0.237,0.137,0.93,0.91,0.88
"12103","1210308","Pinellas County (South Central)--St. Petersburg City (West), Florida","Tampa Bay",2019,0.02,0.494,0.224,0.166,0.84,0.86,1.07
"13057","1303101","Atlanta Regional Commission--Cherokee County (Central)--Woodstock & Canton Cities, Georgia","Atlanta",2019,0.012,0.544,0.194,0.111,0.53,0.88,0.78
"13057","1303102","Atlanta Regional Commission--Cherokee County (Outside Woodstock & Canton Cities), Georgia","Atlanta",2019,0.015,0.509,0.194,0.137,0.66,0.88,0.96
"13063","1305001","Atlanta Regional Commission (South Central)--Clayton County (South), Georgia","Atlanta",2019,0.032,0.488,0.326,0.132,1.41,1.47,0.93
"13063","1305002","Atlanta Regional Commission (South Central)--Clayton County (North)--Forest Park City, Georgia","Atlanta",2019,0.03,0.488,0.331,0.156,1.32,1.5,1.09
"13067","1303003","Atlanta Regional Commission (Northwest)--Cobb County (Southwest)--Powder Springs City, Georgia","Atlanta",2019,0.018,0.506,0.222,0.111,0.79,1,0.78
"13067","1303004","Atlanta Regional Commission (Northwest)--Cobb County (Southeast)--Smyrna City, Georgia","Atlanta",2019,0.026,0.607,0.171,0.17,1.15,0.77,1.19
"13067","1303005","Atlanta Regional Commission (Northwest)--Cobb County (Northeast), Georgia","Atlanta",2019,0.02,0.518,0.199,0.116,0.88,0.9,0.81
"13067","1303001","Atlanta Regional Commission (Northwest)--Cobb County (Central)--Marietta City, Georgia","Atlanta",2019,0.025,0.57,0.243,0.165,1.1,1.1,1.16
"13067","1303002","Atlanta Regional Commission--Cobb County (Northwest)--Kennesaw & Acworth Cities, Georgia","Atlanta",2019,0.008,0.541,0.243,0.139,0.35,1.1,0.98
"13089","1302002","Atlanta Regional Commission--DeKalb County--Decatur & Avondale Estates Cities, Georgia","Atlanta",2019,0.019,0.504,0.224,0.147,0.84,1.01,1.03
"13089","1302004","Atlanta Regional Commission--DeKalb County (North)--Dunwoody City, Georgia","Atlanta",2019,0.017,0.596,0.155,0.135,0.75,0.7,0.95
"13089","1301008","Atlanta Regional Commission (Central)--DeKalb County (South), Georgia","Atlanta",2019,0.042,0.503,0.284,0.115,1.85,1.28,0.81
